title	year	director	cast	genre	notes
WUSA	1970	Stuart Rosenberg	"Paul Newman, Joanne Woodward, Anthony Perkins"	Drama	Paramount
A Walk in the Spring Rain	1970	Guy Green	"Ingrid Bergman, Anthony Quinn"	Romance	Columbia Pictures
Walk the Walk	1970	Jac Zacha	Bernie Hamilton	Drama	
Watermelon Man	1970	Melvin Van Peebles	"Godfrey Cambridge, D'Urville Martin"	Comedy	
What Do You Say to a Naked Lady?	1970	Allen Funt	Richard Roundtree	Comedy	
Where's Poppa?	1970	Carl Reiner	"George Segal, Ruth Gordon, Ron Leibman"	Comedy	United Artists
Which Way to the Front?	1970	Jerry Lewis	"Jerry Lewis, Jan Murray"	Comedy	Warner Bros.
The Wild Country	1970	Robert Totten	"Vera Miles, Steve Forrest"	Adventure	Disney
The Wild Scene	1970	William Rowland	John Craven	Drama	
The Wizard of Gore	1970	Herschell Gordon Lewis	Ray Sager	Horror	
Woodstock	1970	Michael Wadleigh	"Jimi Hendrix, The Who, Jefferson Airplane, Santana, Joe Cocker, Janis Joplin, Arlo Guthrie, Joan Baez, Crosby, Stills & Nash, Sly and the Family Stone"	Documentary	"From August, 1969 music festival"
You Can't Win 'Em All	1970	Peter Collinson	"Tony Curtis, Charles Bronson"	War	
Zabriskie Point	1970	Michelangelo Antonioni	"Daria Halprin, G. D. Spradlin, Rod Taylor"	Drama	MGM
Zig Zag	1970	Richard A. Colla	"George Kennedy, Anne Jackson, Eli Wallach"	Thriller	MGM
$ aka Dollars	1971	Richard Brooks	"Warren Beatty, Goldie Hawn"	"Crime, Comedy"	Columbia
200 Motels	1971	"Tony Palmer, Charles Swenson"	"Frank Zappa, Ringo Starr, Theodore Bikel"	"Comedy, Musical"	United Artists
The Anderson Tapes	1971	Sidney Lumet	"Sean Connery, Dyan Cannon, Christopher Walken, Alan King"	"Crime, Drama"	Columbia
The Andromeda Strain	1971	Robert Wise	"Arthur Hill, James Olson, Kate Reid, David Wayne, Paula Kelly"	Science fiction	book by Michael Crichton
Bad Man's River	1971	Eugenio Martin	"Lee Van Cleef, Gina Lollobrigida"	Western	
Bananas	1971	Woody Allen	"Woody Allen, Louise Lasser"	Comedy	United Artists
The Barefoot Executive	1971	Robert Butler	"Kurt Russell, Joe Flynn"	"Comedy, Family"	Disney
The Battle of Love's Return	1971	Lloyd Kaufman	"Lloyd Kaufman, Lynn Lowry, Oliver Stone"	Comedy	
Bedknobs and Broomsticks	1971	Robert Stevenson	"Angela Lansbury, David Tomlinson"	"Musical, Fantasy"	Disney
The Beguiled	1971	Don Siegel	"Clint Eastwood, Geraldine Page, Elizabeth Hartman"	Drama	Universal
The Big Doll House	1971	Jack Hill	"Roberta Collins, Pam Grier"	Sexploitation	
Big Jake	1971	George Sherman	"John Wayne, Maureen O'Hara, Richard Boone"	Western	National General
Billy Jack	1971	Tom Laughlin	"Tom Laughlin, Delores Taylor, Kenneth Tobey, Howard Hesseman"	Action	2 sequels
Bless the Beasts and Children	1971	Stanley Kramer	"Bill Mumy, Barry Robins, Miles Chapin"	Drama	novel by Glendon Swarthout
Blood Thirst	1971	Newt Arnold	"Robert Winston, Yvonne Nielson, Judy Dennis"	Horror	
Born to Win	1971	Ivan Passer	"George Segal, Paula Prentiss, Karen Black"	Comedy	
Brian's Song	1971	Buzz Kulik	"James Caan, Billy Dee Williams, Shelley Fabares, Jack Warden"	"Biography, Drama"	made for TV
Brother John	1971	James Goldstone	"Sidney Poitier, Will Geer, Bradford Dillman"	Drama	Columbia
Bunny O'Hare	1971	Gerd Oswald	"Bette Davis, Ernest Borgnine"	Comedy	A.I.P.
Cain's Cutthroats	1971	Ken Osborne	"John Carradine, Scott Brady"	Western	aka Cain's Way
Carnal Knowledge	1971	Mike Nichols	"Ann-Margret, Jack Nicholson, Candice Bergen, Art Garfunkel, Rita Moreno"	Drama	from Jules Feiffer play
Catlow	1971	Sam Wanamaker	"Yul Brynner, Richard Crenna, Leonard Nimoy"	Western	from Louis L'Amour novel
Clay Pigeon	1971	Lane Slate	"Telly Savalas, Burgess Meredith"	Action	
Cold Turkey	1971	Norman Lear	"Dick Van Dyke, Bob Newhart"	Comedy	music by Randy Newman
Cry Uncle!	1971	John G. Avildsen	"Allen Garfield, Marcia Jean Kurtz"	Comedy	
Day of the Wolves	1971	"Ferde Grofe, Jr."	"Richard Egan, Martha Hyer, Jan Murray"	Crime drama	Hyer's final film
The Deadly Trap	1971	Rene Clement	"Faye Dunaway, Frank Langella"	Drama	made in France
The Deserter	1971	Burt Kennedy	"Bekim Fehmiu, John Huston, Richard Crenna, Ricardo Montalban, Chuck Connors"	Western	Dino De Laurentiis production
Desperate Characters	1971	Frank D. Gilroy	"Shirley MacLaine, Kenneth Mars"	Drama	Paramount
"Die Screaming, Marianne"	1971	Pete Walker	"Susan George, Leo Genn"	Horror	
Dirty Harry	1971	Don Siegel	"Clint Eastwood, Andrew Robinson, Reni Santoni, Harry Guardino, John Vernon"	"Drama, Action"	first in 5-film series
Doc	1971	Frank Perry	"Stacy Keach, Faye Dunaway, Harris Yulin"	Western	United Artists
Dracula vs. Frankenstein	1971	Al Adamson	"Lon Chaney, Jr., J. Carrol Naish"	Horror	Chaney's final horror film
"Drive, He Said"	1971	Jack Nicholson	"William Tepper, Karen Black, Bruce Dern"	Drama	Columbia
Duel	1971	Steven Spielberg	"Dennis Weaver, Jacqueline Scott"	Thriller	made for TV
Escape from the Planet of the Apes	1971	Don Taylor	"Roddy McDowall, Kim Hunter, Sal Mineo"	Science fiction	Planet of the Apes sequel
Evel Knievel	1971	Marvin J. Chomsky	"George Hamilton, Sue Lyon, Bert Freed"	Biography	
Fiddler on the Roof	1971	Norman Jewison	"Topol, Norma Crane"	Musical	won 3 Academy Awards
Fools' Parade	1971	Andrew V. McLaglen	"James Stewart, Kurt Russell, George Kennedy"	"Crime, Drama"	from Davis Grubb story
Four Rode Out	1971	John Peyser	"Sue Lyon, Leslie Nielsen"	Western	
The French Connection	1971	William Friedkin	"Gene Hackman, Roy Scheider"	"Crime, Drama"	won 5 Academy Awards
Fright	1971	Peter Collinson	"Honor Blackman, Susan George"	Suspense	Allied Artists
The Gang That Couldn't Shoot Straight	1971	James Goldstone	"Jerry Orbach, Robert De Niro"	Comedy	from Jimmy Breslin novel
Gas-s-s-s	1971	Roger Corman	"Ben Vereen, Talia Shire"	Comedy	AIP
Going Home	1971	Herbert Leonard	"Robert Mitchum, Brenda Vaccaro"	Drama	MGM
